cited_url,citation_count,grounding_query,ticker,metric,page_family
"/screens/low-pe-stocks","222","","","","screen"
"/screens/quality-compounders","85","","","","screen"
"/screens/large-cap-value-stocks","67","","","","screen"
"/screens/profitable-small-cap-stocks","56","","","","screen"
"/screens/small-cap-growth-stocks","41","","","","screen"
"/screens/highest-roe-stocks","38","","","","screen"
"/screens/undervalued-tech-stocks","36","","","","screen"
"/screens/highest-free-cash-flow-stocks","36","","","","screen"
"/screens/low-peg-stocks","32","","","","screen"
"/stocks/GILD/revenue","31","","GILD","revenue","revenue"
"/screens/most-profitable-stocks","21","","","","screen"
"/stocks/AMTM","19","","AMTM","","company"
"/stocks/NVDA/shares-outstanding","17","","NVDA","shares-outstanding","shares-outstanding"
"/screens/high-growth-stocks","16","","","","screen"
"/screens/high-dividend-tech-stocks","14","","","","screen"
"/stocks/NVDA/pe-ratio","13","","NVDA","pe-ratio","pe-ratio"
"/stocks/FHB/net-income","12","","FHB","net-income","net-income"
"/stocks/MSFT/pe-ratio","11","","MSFT","pe-ratio","pe-ratio"
"/stocks/SARO/dividend-history","11","","SARO","dividend-history","dividend-history"
"/compare/SHEL-vs-TTE","10","","","","comparison"
"/compare/OMF-vs-UBSI","10","","","","comparison"
"/stocks/AAPL/shares-outstanding","9","","AAPL","shares-outstanding","shares-outstanding"
"/screens/high-dividend-energy-stocks","8","","","","screen"
"/screens/dividend-stocks","8","","","","screen"
"/stocks/NVDA/free-cash-flow","8","","NVDA","free-cash-flow","free-cash-flow"
