engine,page,page_family,impressions,clicks,ctr,position,position_bucket,expected_ctr,ctr_gap,ownership_confidence,opportunity_score,priority
"bing","/stocks/AAP/free-cash-flow","free-cash-flow","158","0","0","6","6-10","0.035","0.035","high","5.53","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NBIX/free-cash-flow","free-cash-flow","7","0","0","1","1-3","0.28","0.28","high","1.1760000000000002","P1_REVIEW"
"bing","/stocks/AAPL/shares-outstanding","shares-outstanding","26","0","0","7","6-10","0.035","0.035","high","0.9100000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/screens/most-profitable-stocks","screen","12","0","0","4","4-5","0.07","0.07","high","0.8400000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MRNA/shares-outstanding","shares-outstanding","12","0","0","5","4-5","0.07","0.07","high","0.8400000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NVDA/shares-outstanding","shares-outstanding","19","0","0","8","6-10","0.035","0.035","high","0.665","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ABT/revenue","revenue","18","0","0","8","6-10","0.035","0.035","high","0.6300000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/TSLA/shares-outstanding","shares-outstanding","15","0","0","6","6-10","0.035","0.035","high","0.525","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MASI/revenue","revenue","5","0","0","4","4-5","0.07","0.07","high","0.35000000000000003","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/INTC/dividend-history","dividend-history","5","0","0","4","4-5","0.07","0.07","high","0.35000000000000003","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MSFT/shares-outstanding","shares-outstanding","9","0","0","8","6-10","0.035","0.035","high","0.31500000000000006","P0_POSITION_4_10_LOW_CTR"
"bing","/screens/stocks-below-book-value","screen","4","0","0","4","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ZTS","other","9","0","0","9","6-10","0.035","0.035","medium","0.23625000000000004","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AAPL/dividend-history","dividend-history","5","0","0","7","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AAPL/free-cash-flow","free-cash-flow","5","0","0","6","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/TMHC/pe-ratio","pe-ratio","5","0","0","6","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AVGO/shares-outstanding","shares-outstanding","5","0","0","7","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/DXCM/free-cash-flow","free-cash-flow","2","0","0","3","1-3","0.12","0.12","high","0.144","P1_REVIEW"
"bing","/stocks/LECO/revenue","revenue","2","0","0","2","1-3","0.12","0.12","high","0.144","P1_REVIEW"
"bing","/stocks/HCC/shares-outstanding","shares-outstanding","2","0","0","3","1-3","0.12","0.12","high","0.144","P1_REVIEW"
"bing","/stocks/NVDA/pe-ratio","pe-ratio","4","0","0","8","6-10","0.035","0.035","high","0.14","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/LUMN/dividend-history","dividend-history","4","0","0","8","6-10","0.035","0.035","high","0.14","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/INTC/shares-outstanding","shares-outstanding","4","0","0","6","6-10","0.035","0.035","high","0.14","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MSFT/pe-ratio","pe-ratio","2","0","0","5","4-5","0.07","0.07","high","0.14","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/INSW/shares-outstanding","shares-outstanding","2","0","0","4","4-5","0.07","0.07","high","0.14","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/UCTT","other","1","0","0","1","1-3","0.28","0.28","medium","0.126","P1_REVIEW"
"bing","/stocks/TSLA/pe-ratio","pe-ratio","3","0","0","7","6-10","0.035","0.035","high","0.10500000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NEE/shares-outstanding","shares-outstanding","3","0","0","6","6-10","0.035","0.035","high","0.10500000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AMZN/dividend-history","dividend-history","3","0","0","6","6-10","0.035","0.035","high","0.10500000000000001","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NVDA/revenue","revenue","1","0","0","3","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/WTS/gross-profit","gross-profit","1","0","0","2","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/JNJ/total-debt","total-debt","1","0","0","3","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/SNDK/total-debt","total-debt","1","0","0","3","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/MSFT/gross-profit","gross-profit","1","0","0","2","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/VSH/pe-ratio","pe-ratio","1","0","0","3","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/ORCL/total-debt","total-debt","1","0","0","3","1-3","0.12","0.12","high","0.072","P1_REVIEW"
"bing","/stocks/NFLX/pe-ratio","pe-ratio","2","0","0","8","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NVDA/free-cash-flow","free-cash-flow","2","0","0","7","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ADBE/shares-outstanding","shares-outstanding","2","0","0","6","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ARES/shares-outstanding","shares-outstanding","2","0","0","8","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/compare/AMD-vs-SMCI","comparison","2","0","0","10","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/FLG/revenue","revenue","2","0","0","8","6-10","0.035","0.035","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AGCO/pe-ratio","pe-ratio","1","0","0","5","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/VZ/pe-ratio","pe-ratio","1","0","0","4","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/CI/shares-outstanding","shares-outstanding","1","0","0","5","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/HASI/revenue","revenue","1","0","0","4","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/TMDX/shares-outstanding","shares-outstanding","1","0","0","4","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ZTS/free-cash-flow","free-cash-flow","1","0","0","4","4-5","0.07","0.07","high","0.07","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/VCYT","other","1","0","0","3","1-3","0.12","0.12","medium","0.05399999999999999","P1_REVIEW"
"bing","/stocks/COHR","other","2","0","0","9","6-10","0.035","0.035","medium","0.052500000000000005","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/SWK","other","1","0","0","5","4-5","0.07","0.07","medium","0.052500000000000005","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MDLZ","other","1","0","0","5","4-5","0.07","0.07","medium","0.052500000000000005","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/HTZ","other","1","0","0","4","4-5","0.07","0.07","medium","0.052500000000000005","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/NVDA/total-debt","total-debt","1","0","0","7","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/MSFT/total-debt","total-debt","1","0","0","10","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/CRH/free-cash-flow","free-cash-flow","1","0","0","10","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ACN/free-cash-flow","free-cash-flow","1","0","0","6","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/QCOM/shares-outstanding","shares-outstanding","1","0","0","7","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/compare/MSFT-vs-MU","comparison","1","0","0","6","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/AAPL/net-income","net-income","1","0","0","6","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/JPM/pe-ratio","pe-ratio","1","0","0","10","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
"bing","/stocks/ADM/revenue","revenue","1","0","0","10","6-10","0.035","0.035","high","0.035","P0_POSITION_4_10_LOW_CTR"
