engine,page,page_family,impressions,clicks,ctr,position,position_bucket,expected_ctr,ctr_gap,ownership_confidence,opportunity_score,priority
"google","/stocks/WAB/dividend-history","dividend-history","3272","0","0","3.0012224938875307","4-5","0.07","0.07","high","137.424","P1_REVIEW"
"google","/stocks/WAB/shares-outstanding","shares-outstanding","1804","0","0","1.7411308203991132","1-3","0.12","0.12","high","129.88799999999998","P1_REVIEW"
"google","/stocks/WAB/eps","eps","610","0","0","2.1721311475409837","1-3","0.12","0.12","high","43.92","P1_REVIEW"
"google","/compare/PLTK-vs-YELP","comparison","979","0","0","9.993871297242084","6-10","0.035","0.035","high","34.265","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ACI","other","111","0","0","6.738738738738738","6-10","0.035","0.035","medium","2.9137500000000003","P0_POSITION_4_10_LOW_CTR"
"google","/compare/MRVL-vs-SNDK","comparison","77","0","0","8.558441558441558","6-10","0.035","0.035","high","2.6950000000000003","P0_POSITION_4_10_LOW_CTR"
"google","/stocks","other","362","0","0","16.306629834254146","16-20","0.012","0.012","medium","1.9547999999999999","P1_REVIEW"
"google","/stocks/F","other","31","0","0","1.7096774193548387","1-3","0.12","0.12","medium","1.674","P1_REVIEW"
"google","/compare/F-vs-NKE","comparison","39","0","0","6.076923076923077","6-10","0.035","0.035","high","1.3650000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/DELL/shares-outstanding","shares-outstanding","189","0","0","10.312169312169312","11-15","0.012","0.012","high","1.3608","P1_REVIEW"
"google","/compare/CBRS-vs-CRDO","comparison","29","0","0","5.379310344827586","6-10","0.035","0.035","high","1.0150000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/GE/net-income","net-income","6","0","0","1.5","1-3","0.28","0.28","high","1.008","P1_REVIEW"
"google","/compare/EA-vs-TTWO","comparison","54","1","0.018518518518518517","9.648148148148149","6-10","0.035","0.016481481481481486","high","0.8900000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/ATRO-vs-RDW","comparison","12","0","0","4.083333333333334","4-5","0.07","0.07","high","0.8400000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/compare/JBL-vs-UI","comparison","10","0","0","4.4","4-5","0.07","0.07","high","0.7000000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/BMRN","other","26","0","0","6.730769230769231","6-10","0.035","0.035","medium","0.6825000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/compare/AXG-vs-HIPO","comparison","4","0","0","1","1-3","0.28","0.28","high","0.672","P1_REVIEW"
"google","/stocks/CF/gross-profit","gross-profit","4","0","0","1","1-3","0.28","0.28","high","0.672","P1_REVIEW"
"google","/stocks/LRN/shares-outstanding","shares-outstanding","19","0","0","9.157894736842104","6-10","0.035","0.035","high","0.665","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CAT-vs-GEV","comparison","18","0","0","9.38888888888889","6-10","0.035","0.035","high","0.6300000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/EVRG/eps","eps","3","0","0","1","1-3","0.28","0.28","high","0.504","P1_REVIEW"
"google","/stocks/MAA/eps","eps","7","0","0","2.7142857142857144","1-3","0.12","0.12","high","0.504","P1_REVIEW"
"google","/stocks/TEL/shares-outstanding","shares-outstanding","3","0","0","1","1-3","0.28","0.28","high","0.504","P1_REVIEW"
"google","/stocks/TXT/shares-outstanding","shares-outstanding","3","0","0","1","1-3","0.28","0.28","high","0.504","P1_REVIEW"
"google","/stocks/HOMB","other","18","0","0","8.333333333333332","6-10","0.035","0.035","medium","0.4725000000000001","P0_POSITION_4_10_LOW_CTR"
"google","/compare/ALAB-vs-TER","comparison","13","0","0","6.153846153846154","6-10","0.035","0.035","high","0.45500000000000007","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/TNDM/total-debt","total-debt","13","0","0","6.153846153846154","6-10","0.035","0.035","high","0.45500000000000007","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/UFPI/eps","eps","13","0","0","9.384615384615385","6-10","0.035","0.035","high","0.45500000000000007","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/GE/eps","eps","6","0","0","2.666666666666667","1-3","0.12","0.12","high","0.43199999999999994","P1_REVIEW"
"google","/compare/EOSE-vs-TE","comparison","6","0","0","4.666666666666666","4-5","0.07","0.07","high","0.42000000000000004","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/EME","other","3","0","0","1","1-3","0.28","0.28","medium","0.378","P1_REVIEW"
"google","/compare/CIEN-vs-HPE","comparison","5","0","0","5","4-5","0.07","0.07","high","0.35000000000000003","P0_POSITION_4_10_LOW_CTR"
"google","/compare/MU-vs-ORCL","comparison","10","0","0","6.8","6-10","0.035","0.035","high","0.35000000000000003","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/HII/pe-ratio","pe-ratio","5","0","0","4.8","4-5","0.07","0.07","high","0.35000000000000003","P0_POSITION_4_10_LOW_CTR"
"google","/monitor","other","13","0","0","8.615384615384615","6-10","0.035","0.035","medium","0.34125000000000005","P0_POSITION_4_10_LOW_CTR"
"google","/tour","other","13","0","0","8.615384615384615","6-10","0.035","0.035","medium","0.34125000000000005","P0_POSITION_4_10_LOW_CTR"
"google","/compare/RAL-vs-ST","comparison","2","0","0","1","1-3","0.28","0.28","high","0.336","P1_REVIEW"
"google","/stocks/ATO/eps","eps","2","0","0","1","1-3","0.28","0.28","high","0.336","P1_REVIEW"
"google","/stocks/GE/revenue","revenue","2","0","0","1","1-3","0.28","0.28","high","0.336","P1_REVIEW"
"google","/stocks/ROP/free-cash-flow","free-cash-flow","8","0","0","3.125","4-5","0.07","0.07","high","0.336","P1_REVIEW"
"google","/stocks/CSCO/shares-outstanding","shares-outstanding","9","0","0","8.222222222222221","6-10","0.035","0.035","high","0.31500000000000006","P0_POSITION_4_10_LOW_CTR"
"google","/compare/AFL-vs-NU","comparison","4","0","0","3","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/compare/AXG-vs-HRTG","comparison","4","0","0","2","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/compare/DELL-vs-TXN","comparison","4","0","0","2.5","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/compare/DY-vs-IESC","comparison","4","0","0","3","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/stocks/CF/dividend-history","dividend-history","4","0","0","3","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/stocks/CF/total-debt","total-debt","4","0","0","2","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/stocks/GE/free-cash-flow","free-cash-flow","4","0","0","2.25","1-3","0.12","0.12","high","0.288","P1_REVIEW"
"google","/compare/APH-vs-MRVL","comparison","4","0","0","4.5","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/AVGO-vs-MU","comparison","8","0","0","9","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CBRS-vs-CRWV","comparison","8","0","0","5.875","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/HOOD-vs-MCO","comparison","8","0","0","8.875","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/HUN-vs-OLN","comparison","8","0","0","6.375","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/IBM-vs-KLAC","comparison","4","0","0","4","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/JCI-vs-TT","comparison","8","0","0","7.75","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/compare/NAVN-vs-PSN","comparison","8","0","0","6.875","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ESAB/shares-outstanding","shares-outstanding","4","0","0","5","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/PRG/revenue","revenue","8","0","0","6.25","6-10","0.035","0.035","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ROP/dividend-history","dividend-history","4","0","0","5","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/SPSC/eps","eps","4","0","0","4","4-5","0.07","0.07","high","0.28","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/GEVO","other","5","0","0","1.6","1-3","0.12","0.12","medium","0.27","P1_REVIEW"
"google","/stocks/RJET","other","5","0","0","2.6","1-3","0.12","0.12","medium","0.27","P1_REVIEW"
"google","/stocks/DELL/gross-profit","gross-profit","36","0","0","10.472222222222221","11-15","0.012","0.012","high","0.2592","P1_REVIEW"
"google","/stocks/ALAB","other","2","0","0","1","1-3","0.28","0.28","medium","0.252","P1_REVIEW"
"google","/stocks/NAVI","other","2","0","0","1","1-3","0.28","0.28","medium","0.252","P1_REVIEW"
"google","/compare/DDOG-vs-NET","comparison","7","0","0","9.428571428571429","6-10","0.035","0.035","high","0.24500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/AGCO-vs-OSK","comparison","3","0","0","2","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/compare/LAB-vs-SGMT","comparison","3","0","0","2.666666666666667","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/features","other","4","0","0","2","1-3","0.12","0.12","medium","0.21599999999999997","P1_REVIEW"
"google","/stocks/ETR/revenue","revenue","3","0","0","3","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/stocks/EVRG/revenue","revenue","3","0","0","2","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/stocks/MDLZ/free-cash-flow","free-cash-flow","3","0","0","2.333333333333333","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/stocks/ROP/shares-outstanding","shares-outstanding","3","0","0","2.333333333333333","1-3","0.12","0.12","high","0.21599999999999997","P1_REVIEW"
"google","/stocks/TXT","other","4","0","0","1.75","1-3","0.12","0.12","medium","0.21599999999999997","P1_REVIEW"
"google","/compare/ANET-vs-APH","comparison","6","0","0","7.166666666666667","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/ANET-vs-GLW","comparison","3","0","0","5","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/BNY-vs-PNC","comparison","6","0","0","6","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CMI-vs-PWR","comparison","3","0","0","4","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/COHU-vs-ICHR","comparison","3","0","0","4.666666666666666","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/ETR-vs-VST","comparison","6","0","0","5.833333333333333","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/EXC-vs-XEL","comparison","3","0","0","5","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/MNR-vs-NEXT","comparison","3","0","0","4","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/MT-vs-NUE","comparison","6","0","0","8.5","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/AMR/dividend-history","dividend-history","3","0","0","4.333333333333334","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/AMR/total-debt","total-debt","3","0","0","4.666666666666666","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ATO/free-cash-flow","free-cash-flow","3","0","0","4","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ENPH/net-income","net-income","3","0","0","4.666666666666666","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/ITT","other","8","0","0","6.625","6-10","0.035","0.035","medium","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/LAMR/revenue","revenue","6","0","0","7.333333333333333","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/MPWR","other","8","0","0","8.625","6-10","0.035","0.035","medium","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/MSEX/shares-outstanding","shares-outstanding","6","0","0","5.666666666666667","6-10","0.035","0.035","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/OC/eps","eps","3","0","0","4","4-5","0.07","0.07","high","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/stocks/VMET","other","4","0","0","4.25","4-5","0.07","0.07","medium","0.21000000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/AMAT-vs-SNDK","comparison","5","0","0","7","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/BULL-vs-DAVE","comparison","5","0","0","7.4","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CBRS-vs-FLEX","comparison","5","0","0","9.8","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CEG-vs-DUK","comparison","5","0","0","9.8","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/CRDO-vs-CRWV","comparison","5","0","0","5.2","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/DOW-vs-LYB","comparison","5","0","0","6.4","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
"google","/compare/ELV-vs-MCK","comparison","5","0","0","5.4","6-10","0.035","0.035","high","0.17500000000000002","P0_POSITION_4_10_LOW_CTR"
