url,source,incoming_in_sample,outgoing_in_sample,anchor_texts,orphan_status,page_family,wrong_metric_anchor,duplicate_anchor_count
"/stocks/AAP","/stocks/AAP/free-cash-flow","10","11","AAP | Full AAP fundamentals page &rarr;","sampled","company","no","1"
"/stocks/AAP/free-cash-flow.csv","/stocks/AAP/free-cash-flow","1","11","Download CSV","outside_sample","metric","no","1"
"/stocks/AAP/revenue","/stocks/AAP/free-cash-flow","7","11","Revenue","sampled","metric","no","1"
"/stocks/AAP/net-income","/stocks/AAP/free-cash-flow","7","11","Net Income","sampled","metric","no","1"
"/stocks/AAP/gross-profit","/stocks/AAP/free-cash-flow","8","11","Gross Profit","outside_sample","metric","no","1"
"/stocks/AAP/eps","/stocks/AAP/free-cash-flow","7","11","Earnings per Share (EPS)","sampled","metric","no","1"
"/stocks/AAP/ebitda","/stocks/AAP/free-cash-flow","8","11","EBITDA","outside_sample","metric","no","1"
"/stocks/AAP/total-debt","/stocks/AAP/free-cash-flow","7","11","Total Debt","sampled","metric","no","1"
"/stocks/AAP/shares-outstanding","/stocks/AAP/free-cash-flow","7","11","Shares Outstanding","sampled","metric","no","1"
"/stocks/AAP/dividend-history","/stocks/AAP/free-cash-flow","8","11","Dividend History","outside_sample","metric","no","1"
"/stocks/AAP/pe-ratio","/stocks/AAP/free-cash-flow","7","11","P/E Ratio","sampled","metric","no","1"
"/stocks/WAB","/stocks/WAB/eps","3","11","WAB | Full WAB fundamentals page &rarr;","outside_sample","company","no","1"
"/stocks/WAB/eps.csv","/stocks/WAB/eps","1","11","Download CSV","outside_sample","metric","no","1"
"/stocks/WAB/revenue","/stocks/WAB/eps","3","11","Revenue","outside_sample","metric","no","1"
"/stocks/WAB/net-income","/stocks/WAB/eps","3","11","Net Income","outside_sample","metric","no","1"
"/stocks/WAB/gross-profit","/stocks/WAB/eps","3","11","Gross Profit","outside_sample","metric","no","1"
"/stocks/WAB/ebitda","/stocks/WAB/eps","3","11","EBITDA","outside_sample","metric","no","1"
"/stocks/WAB/free-cash-flow","/stocks/WAB/eps","3","11","Free Cash Flow","outside_sample","metric","no","1"
"/stocks/WAB/total-debt","/stocks/WAB/eps","3","11","Total Debt","outside_sample","metric","no","1"
"/stocks/WAB/shares-outstanding","/stocks/WAB/eps","2","11","Shares Outstanding","sampled","metric","no","1"
"/stocks/WAB/dividend-history","/stocks/WAB/eps","2","11","Dividend History","sampled","metric","no","1"
"/stocks/WAB/pe-ratio","/stocks/WAB/eps","3","11","P/E Ratio","outside_sample","metric","no","1"
"/stocks/WAB","/stocks/WAB/shares-outstanding","3","11","WAB | Full WAB fundamentals page &rarr;","outside_sample","company","no","1"
"/stocks/WAB/shares-outstanding.csv","/stocks/WAB/shares-outstanding","1","11","Download CSV","outside_sample","metric","no","1"
"/stocks/WAB/revenue","/stocks/WAB/shares-outstanding","3","11","Revenue","outside_sample","metric","no","1"
"/stocks/WAB/net-income","/stocks/WAB/shares-outstanding","3","11","Net Income","outside_sample","metric","no","1"
"/stocks/WAB/gross-profit","/stocks/WAB/shares-outstanding","3","11","Gross Profit","outside_sample","metric","no","1"
"/stocks/WAB/eps","/stocks/WAB/shares-outstanding","2","11","Earnings per Share (EPS)","sampled","metric","no","1"
"/stocks/WAB/ebitda","/stocks/WAB/shares-outstanding","3","11","EBITDA","outside_sample","metric","no","1"
"/stocks/WAB/free-cash-flow","/stocks/WAB/shares-outstanding","3","11","Free Cash Flow","outside_sample","metric","no","1"
