source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","WAB","""earnings per share - wab""","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/dividend-history","1269","0","0","2.9574468085106385","WRONG_METRIC","WRONG_METRIC","0","1269","1269","0","1","/stocks/WAB/dividend-history","647","no","/stocks/WAB/dividend-history=647; /stocks/WAB/shares-outstanding=622"
"google","WAB","""earnings per share - wab"" financial","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/shares-outstanding","737","0","0","2.616010854816825","WRONG_METRIC","WRONG_METRIC","0","737","737","0","1","/stocks/WAB/shares-outstanding","373","no","/stocks/WAB/shares-outstanding=373; /stocks/WAB/dividend-history=364"
"google","WAB","""shares outstanding - wab"" financial","SHARES","SHARES","/stocks/WAB/shares-outstanding","/stocks/WAB/eps","596","0","0","2.4848993288590604","WRONG_METRIC","WRONG_METRIC","0","596","596","0","1","/stocks/WAB/eps","300","no","/stocks/WAB/eps=300; /stocks/WAB/dividend-history=296"
"google","WAB","""earnings per share - wab"" finance","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/dividend-history","336","0","0","2.7083333333333335","WRONG_METRIC","WRONG_METRIC","0","336","336","0","1","/stocks/WAB/dividend-history","168","no","/stocks/WAB/dividend-history=168; /stocks/WAB/shares-outstanding=168"
"google","WAB","""earnings per share - wab"" financial statement","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/shares-outstanding","242","0","0","1.7355371900826446","WRONG_METRIC","WRONG_METRIC","0","242","242","0","1","/stocks/WAB/shares-outstanding","229","no","/stocks/WAB/shares-outstanding=229; /stocks/WAB/dividend-history=13"
"google","WAB","""shares outstanding - wab"" finance","SHARES","SHARES","/stocks/WAB/shares-outstanding","/stocks/WAB/dividend-history","218","0","0","2.36697247706422","WRONG_METRIC","WRONG_METRIC","0","218","218","0","1","/stocks/WAB/dividend-history","109","no","/stocks/WAB/dividend-history=109; /stocks/WAB/eps=109"
"google","WAB","""earnings per share - wab"" financial model","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/dividend-history","181","0","0","3.0718232044198897","WRONG_METRIC","WRONG_METRIC","0","181","181","0","1","/stocks/WAB/dividend-history","93","no","/stocks/WAB/dividend-history=93; /stocks/WAB/shares-outstanding=88"
"google","WAB","""earnings per share - wab"" financial statements","EPS","EPS","/stocks/WAB/eps","/stocks/WAB/shares-outstanding","143","0","0","1.6783216783216781","WRONG_METRIC","WRONG_METRIC","0","143","143","0","1","/stocks/WAB/shares-outstanding","127","no","/stocks/WAB/shares-outstanding=127; /stocks/WAB/dividend-history=16"
"google","WAB","""shares outstanding - wab""","SHARES","SHARES","/stocks/WAB/shares-outstanding","/stocks/WAB/eps","95","0","0","5.747368421052632","WRONG_METRIC","WRONG_METRIC","0","95","95","0","1","/stocks/WAB/eps","58","no","/stocks/WAB/eps=58; /stocks/WAB/dividend-history=37"
"google","WAB","""shares outstanding - wab"" financial statement","SHARES","SHARES","/stocks/WAB/shares-outstanding","/stocks/WAB/eps","62","0","0","3.0483870967741935","WRONG_METRIC","WRONG_METRIC","0","62","62","0","1","/stocks/WAB/eps","39","no","/stocks/WAB/eps=39; /stocks/WAB/dividend-history=23"
