creator,channel,audience_fit,contacted_at,reply_at,tracked_url,qualified_clicks,signups,customers,status,notes
"BoonTee Insights","https://www.boonteeinsights.com/","Finance fact-checking and primary-source research","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-boontee&click_id=creator-20260809-boontee","0","0","0","route_auth_required","""Verified 2026-08-10: official site invites Telegram topic suggestions. A logged-in business Telegram session is required; do not create or use an unrelated account."""
"Shankar Nath","https://shankarnath.substack.com/about","Stock strategies, mutual funds and portfolio construction","2026-08-09T14:14:00.002Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-shankar-nath&click_id=creator-20260809-shankar-nath","0","0","0","sent","""Lead with ETF/fund coverage and filing timelines; offer a private walkthrough for a company or fund he recently covered."""
"Fundamental Finance","https://fundamental-finance.at/en/","Long-term investors and macro research community","2026-08-09T20:02:00Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-fundamental-finance&click_id=creator-20260809-fundamental-finance","0","0","0","sent","""Sent from support@stockportfolio.pro and confirmed in Sent. Source-trail companion for weekly research; no prediction or sponsorship claim."""
"MoneyLetter","https://moneyletter.com/","Mutual-fund and ETF investors","2026-08-09T20:06:00Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-moneyletter&click_id=creator-20260809-moneyletter","0","0","0","sent","""Sent from support@stockportfolio.pro and confirmed in Sent. Asked for the appropriate editorial/business route and feedback on a reader-facing research checklist; no sponsorship request."""
"76 Research","https://www.76research.com/","Objective market insights and model portfolios","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-76research&click_id=creator-20260809-76research","0","0","0","route_captcha_required","""Verified 2026-08-10: official contact form requires Cloudflare Turnstile. Do not bypass it; submit only after a human solves the form challenge."""
"Phin Smith","https://phinsmith.net/","Fundamental analysis and market commentary","","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-phin-smith&click_id=creator-20260809-phin-smith","0","0","0","route_hold","""Verified 2026-08-10: newsletter signup only; no direct business route found. Do not guess an address."""
"Baseline Finance","https://www.baseline.finance/","Young investors seeking contextual market news","2026-08-09T14:14:09.499Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-baseline&click_id=creator-20260809-baseline","0","0","0","sent","""Offer a visual, no-login tool for teaching why filing dates and cash conversion matter."""
"The Frugal Investor","https://www.thefrugalinvestor.com/","Long-term stock and income investors","2026-08-09T14:14:18.572Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-frugal-investor&click_id=creator-20260809-frugal-investor","0","0","0","sent","""Offer a source-backed company check and ETF/fund context; invite candid product feedback, not a sponsored claim."""
"ProfitPress","https://profitpress.com/","Weekly investing and markets newsletter","2026-08-09T14:14:36.756Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-profitpress&click_id=creator-20260809-profitpress","0","0","0","sent","""Offer a compact filing-timeline screenshot as a useful newsletter resource."""
"The Money Maniac","https://themoneymaniac.com/","Personal finance and investing education","2026-08-09T14:14:27.708Z","","https://www.stockportfolio.pro/go/appsumo/creator?content_id=creator-money-maniac&click_id=creator-20260809-money-maniac","0","0","0","sent","""Offer beginner-friendly research workflow copy that links every number to a first-party source."""
