"Date","Citations","Cited Pages"
"6/13/2026 12:00:00 AM","0","0"
"6/14/2026 12:00:00 AM","0","0"
"6/15/2026 12:00:00 AM","0","0"
"6/16/2026 12:00:00 AM","0","0"
"6/17/2026 12:00:00 AM","0","0"
"6/18/2026 12:00:00 AM","2","1"
"6/19/2026 12:00:00 AM","3","2"
"6/20/2026 12:00:00 AM","1","1"
"6/21/2026 12:00:00 AM","3","2"
"6/22/2026 12:00:00 AM","5","1"
"6/23/2026 12:00:00 AM","2","2"
"6/24/2026 12:00:00 AM","10","3"
"6/25/2026 12:00:00 AM","0","0"
"6/26/2026 12:00:00 AM","10","6"
"6/27/2026 12:00:00 AM","1","1"
"6/28/2026 12:00:00 AM","6","2"
"6/29/2026 12:00:00 AM","3","3"
"6/30/2026 12:00:00 AM","39","4"
"7/1/2026 12:00:00 AM","10","5"
"7/2/2026 12:00:00 AM","41","9"
"7/3/2026 12:00:00 AM","30","5"
"7/4/2026 12:00:00 AM","15","2"
"7/5/2026 12:00:00 AM","18","5"
"7/6/2026 12:00:00 AM","0","0"
"7/7/2026 12:00:00 AM","0","0"
"7/8/2026 12:00:00 AM","0","0"
"7/9/2026 12:00:00 AM","0","0"
"7/10/2026 12:00:00 AM","0","0"
"7/11/2026 12:00:00 AM","0","0"
"7/12/2026 12:00:00 AM","0","0"
"7/13/2026 12:00:00 AM","0","0"
"7/14/2026 12:00:00 AM","0","0"
"7/15/2026 12:00:00 AM","0","0"
"7/16/2026 12:00:00 AM","0","0"
"7/17/2026 12:00:00 AM","0","0"
"7/18/2026 12:00:00 AM","0","0"
"7/19/2026 12:00:00 AM","0","0"
"7/20/2026 12:00:00 AM","0","0"
"7/21/2026 12:00:00 AM","0","0"
"7/22/2026 12:00:00 AM","0","0"
"7/23/2026 12:00:00 AM","0","0"
"7/24/2026 12:00:00 AM","0","0"
"7/25/2026 12:00:00 AM","0","0"
"7/26/2026 12:00:00 AM","0","0"
"7/27/2026 12:00:00 AM","0","0"
"7/28/2026 12:00:00 AM","0","0"
"7/29/2026 12:00:00 AM","0","0"
"7/30/2026 12:00:00 AM","0","0"
"7/31/2026 12:00:00 AM","2","2"
"8/1/2026 12:00:00 AM","1","1"
"8/2/2026 12:00:00 AM","7","2"
"8/3/2026 12:00:00 AM","2","2"
"8/4/2026 12:00:00 AM","35","2"
"8/5/2026 12:00:00 AM","3","2"
"8/6/2026 12:00:00 AM","8","5"
"8/7/2026 12:00:00 AM","16","8"
"8/8/2026 12:00:00 AM","21","5"
"8/9/2026 12:00:00 AM","18","9"
"8/10/2026 12:00:00 AM","95","19"
"8/11/2026 12:00:00 AM","27","12"
"8/12/2026 12:00:00 AM","103","20"
"8/13/2026 12:00:00 AM","57","14"
"8/14/2026 12:00:00 AM","72","19"
"8/15/2026 12:00:00 AM","51","17"
"8/16/2026 12:00:00 AM","57","16"
"8/17/2026 12:00:00 AM","84","15"
"8/18/2026 12:00:00 AM","45","19"
"8/19/2026 12:00:00 AM","29","10"
"8/20/2026 12:00:00 AM","51","14"
"8/21/2026 12:00:00 AM","20","7"
"8/22/2026 12:00:00 AM","21","5"
"8/23/2026 12:00:00 AM","22","6"
"8/24/2026 12:00:00 AM","55","17"
"8/25/2026 12:00:00 AM","133","31"
"8/26/2026 12:00:00 AM","74","24"
