page,impressions,clicks,ctr,position
https://www.stockportfolio.pro/stocks/AAPL/shares-outstanding,21,0,0.0,8.0
https://www.stockportfolio.pro/stocks/NVDA/shares-outstanding,20,0,0.0,6.0
https://www.stockportfolio.pro/stocks/MSFT/price-history,17,0,0.0,7.0
https://www.stockportfolio.pro/stocks/FHB/net-income,13,1,0.076923,2.0
https://www.stockportfolio.pro/stocks/NVDA/total-debt,11,0,0.0,7.0
https://www.stockportfolio.pro/screens/high-dividend-energy-stocks,9,0,0.0,7.0
https://www.stockportfolio.pro/stocks/MRNA/dividend-history,8,0,0.0,7.0
https://www.stockportfolio.pro/stocks/MSFT/revenue,7,0,0.0,6.0
https://www.stockportfolio.pro/screens/high-growth-stocks,6,0,0.0,4.0
https://www.stockportfolio.pro/stocks/TSLA/shares-outstanding,5,0,0.0,5.0
https://www.stockportfolio.pro/stocks/PRGO/revenue,5,0,0.0,6.0
https://www.stockportfolio.pro/screens/highest-free-cash-flow-stocks,5,0,0.0,6.0
https://www.stockportfolio.pro/stocks/NVDA/free-cash-flow,4,0,0.0,6.0
https://www.stockportfolio.pro/stocks/NFLX/shares-outstanding,4,0,0.0,8.0
https://www.stockportfolio.pro/screens/large-cap-value-stocks,4,0,0.0,4.0
https://www.stockportfolio.pro/stocks/NVDA/revenue,4,0,0.0,5.0
https://www.stockportfolio.pro/stocks/CL/free-cash-flow,4,0,0.0,4.0
https://www.stockportfolio.pro/screens/low-pe-stocks,4,0,0.0,9.0
https://www.stockportfolio.pro/stocks/ZTS,3,1,0.333333,8.0
https://www.stockportfolio.pro/compare/HONA-vs-LHX,3,1,0.333333,2.0
https://www.stockportfolio.pro/stocks/AR/revenue,3,1,0.333333,4.0
https://www.stockportfolio.pro/stocks/ANF/gross-profit,3,1,0.333333,2.0
https://www.stockportfolio.pro/stocks/NVDA/pe-ratio,3,0,0.0,7.0
https://www.stockportfolio.pro/stocks/TSLA/eps,3,0,0.0,5.0
https://www.stockportfolio.pro/screens/low-peg-stocks,3,0,0.0,5.0
https://www.stockportfolio.pro/stocks/MSFT/eps,3,0,0.0,6.0
https://www.stockportfolio.pro/stocks/ABBV/shares-outstanding,3,0,0.0,7.0
https://www.stockportfolio.pro/stocks/QRVO/shares-outstanding,3,0,0.0,1.0
https://www.stockportfolio.pro/stocks/SNDK/shares-outstanding,3,0,0.0,9.0
https://www.stockportfolio.pro/screens/most-profitable-stocks,2,1,0.5,4.0
https://www.stockportfolio.pro/screens/undervalued-tech-stocks,2,1,0.5,4.0
https://www.stockportfolio.pro/stocks/JNJ/eps,2,1,0.5,3.0
https://www.stockportfolio.pro/stocks/TSLA/pe-ratio,2,0,0.0,4.0
https://www.stockportfolio.pro/stocks/ADBE/net-income,2,0,0.0,8.0
https://www.stockportfolio.pro/stocks/RH/net-income,2,0,0.0,4.0
https://www.stockportfolio.pro/stocks/CXT/price-history,2,0,0.0,4.0
https://www.stockportfolio.pro/stocks/CBOE/shares-outstanding,2,0,0.0,6.0
https://www.stockportfolio.pro/stocks/WTM,2,0,0.0,4.0
https://www.stockportfolio.pro/stocks/MASI/revenue,2,0,0.0,4.0
https://www.stockportfolio.pro/stocks/RH,2,0,0.0,7.0
https://www.stockportfolio.pro/stocks/KLAC/total-debt,2,0,0.0,4.0
