page,clicks,impressions,ctr,position
https://www.stockportfolio.pro/,2,49,0.04081632653061224,12.63265306122449
https://www.stockportfolio.pro/compare/ARM-vs-LRCX,2,13,0.15384615384615385,7.3076923076923075
https://www.stockportfolio.pro/compare/BN-vs-BNY,1,2,0.5,6.5
https://www.stockportfolio.pro/compare/CDNS-vs-FTNT,1,3,0.3333333333333333,5.666666666666667
https://www.stockportfolio.pro/compare/CHTR-vs-ROKU,1,3,0.3333333333333333,4.333333333333334
https://www.stockportfolio.pro/compare/CLS-vs-GFS,1,2,0.5,2
https://www.stockportfolio.pro/compare/COHR-vs-INTU,1,1,1,2
https://www.stockportfolio.pro/compare/CSGP-vs-JLL,1,1,1,9
https://www.stockportfolio.pro/compare/CVBF-vs-UTG,1,3,0.3333333333333333,27.333333333333332
https://www.stockportfolio.pro/compare/EA-vs-TTWO,1,54,0.018518518518518517,9.648148148148149
https://www.stockportfolio.pro/compare/LB-vs-MUR,1,23,0.043478260869565216,6.956521739130435
https://www.stockportfolio.pro/compare/LNG-vs-VG,1,27,0.037037037037037035,8.296296296296298
https://www.stockportfolio.pro/compare/MRVL-vs-WDC,1,12,0.08333333333333333,5.166666666666667
https://www.stockportfolio.pro/compare/MTX-vs-NGVT,1,1,1,10
https://www.stockportfolio.pro/stocks/JBHT/pe-ratio,1,1,1,6
https://www.stockportfolio.pro/company.html?symbol=CHRW,0,1,0,35
https://www.stockportfolio.pro/company?symbol=AEP,0,2,0,58
https://www.stockportfolio.pro/company?symbol=AIO,0,1,0,64
https://www.stockportfolio.pro/company?symbol=AIT,0,2,0,39.5
https://www.stockportfolio.pro/company?symbol=ALB,0,1,0,86
https://www.stockportfolio.pro/company?symbol=ANF,0,1,0,50
https://www.stockportfolio.pro/company?symbol=APG,0,6,0,37.666666666666664
https://www.stockportfolio.pro/company?symbol=APGE,0,1,0,54
https://www.stockportfolio.pro/company?symbol=AYI,0,1,0,56
https://www.stockportfolio.pro/company?symbol=BHF,0,1,0,67
https://www.stockportfolio.pro/company?symbol=BILL,0,1,0,47
https://www.stockportfolio.pro/company?symbol=BMI,0,1,0,89
https://www.stockportfolio.pro/company?symbol=BR,0,1,0,61
https://www.stockportfolio.pro/company?symbol=BURL,0,3,0,45.666666666666664
https://www.stockportfolio.pro/company?symbol=CMG,0,1,0,94
https://www.stockportfolio.pro/company?symbol=DIOD,0,1,0,65
https://www.stockportfolio.pro/company?symbol=DPG,0,1,0,53
https://www.stockportfolio.pro/company?symbol=DVN,0,1,0,75
https://www.stockportfolio.pro/company?symbol=ELAN,0,1,0,88
https://www.stockportfolio.pro/company?symbol=EME,0,1,0,57
https://www.stockportfolio.pro/company?symbol=EPRT,0,2,0,50
https://www.stockportfolio.pro/company?symbol=ESAB,0,1,0,68
https://www.stockportfolio.pro/company?symbol=ESNT,0,1,0,59
https://www.stockportfolio.pro/company?symbol=ETO,0,2,0,42.5
https://www.stockportfolio.pro/company?symbol=EVR,0,2,0,50.5
https://www.stockportfolio.pro/company?symbol=F,0,2,0,47.5
https://www.stockportfolio.pro/company?symbol=FBP,0,4,0,43.5
https://www.stockportfolio.pro/company?symbol=GEMI,0,1,0,5
https://www.stockportfolio.pro/company?symbol=GOLF,0,1,0,70
https://www.stockportfolio.pro/company?symbol=HAE,0,1,0,49
https://www.stockportfolio.pro/company?symbol=HCC,0,4,0,36.25
https://www.stockportfolio.pro/company?symbol=HL,0,4,0,27.75
https://www.stockportfolio.pro/company?symbol=HR,0,1,0,67
https://www.stockportfolio.pro/company?symbol=HXL,0,1,0,48
https://www.stockportfolio.pro/company?symbol=INDV,0,2,0,55.5
https://www.stockportfolio.pro/company?symbol=IONS,0,1,0,54
https://www.stockportfolio.pro/company?symbol=KALU,0,1,0,62
https://www.stockportfolio.pro/company?symbol=KNF,0,4,0,42
https://www.stockportfolio.pro/company?symbol=KNTK,0,3,0,56.333333333333336
https://www.stockportfolio.pro/company?symbol=LEGN,0,2,0,46
https://www.stockportfolio.pro/company?symbol=LRN,0,4,0,35.25
https://www.stockportfolio.pro/company?symbol=MAT,0,1,0,93
https://www.stockportfolio.pro/company?symbol=MSGS,0,1,0,45
https://www.stockportfolio.pro/company?symbol=MTB,0,1,0,22
https://www.stockportfolio.pro/company?symbol=MTZ,0,1,0,60
https://www.stockportfolio.pro/company?symbol=MU,0,1,0,42
https://www.stockportfolio.pro/company?symbol=PATK,0,3,0,46.666666666666664
https://www.stockportfolio.pro/company?symbol=PI,0,2,0,94
https://www.stockportfolio.pro/company?symbol=PRSU,0,2,0,4
https://www.stockportfolio.pro/company?symbol=PSX,0,2,0,36.5
https://www.stockportfolio.pro/company?symbol=QDEL,0,1,0,55
https://www.stockportfolio.pro/company?symbol=QUBT,0,1,0,55
https://www.stockportfolio.pro/company?symbol=REGN,0,1,0,78
https://www.stockportfolio.pro/company?symbol=ROIV,0,2,0,56.5
https://www.stockportfolio.pro/company?symbol=RRC,0,4,0,37.25
https://www.stockportfolio.pro/company?symbol=SKYW,0,4,0,40.75
https://www.stockportfolio.pro/company?symbol=STEL,0,1,0,64
https://www.stockportfolio.pro/company?symbol=STT,0,3,0,40.666666666666664
https://www.stockportfolio.pro/company?symbol=STWD,0,1,0,56
https://www.stockportfolio.pro/company?symbol=SYK,0,2,0,51.5
https://www.stockportfolio.pro/company?symbol=TMUS,0,1,0,53
https://www.stockportfolio.pro/company?symbol=UMBF,0,1,0,36
https://www.stockportfolio.pro/company?symbol=UNF,0,1,0,41
https://www.stockportfolio.pro/company?symbol=UNIT,0,1,0,8
https://www.stockportfolio.pro/company?symbol=VSH,0,2,0,50.5
https://www.stockportfolio.pro/company?symbol=WD,0,2,0,60
https://www.stockportfolio.pro/company?symbol=WS,0,1,0,5
https://www.stockportfolio.pro/company?symbol=WTRG,0,1,0,58
https://www.stockportfolio.pro/company?symbol=XEL,0,3,0,34.333333333333336
https://www.stockportfolio.pro/company?symbol=XRAY,0,3,0,55.333333333333336
https://www.stockportfolio.pro/company?symbol=YUMC,0,4,0,39.75
https://www.stockportfolio.pro/compare,0,2,0,3
https://www.stockportfolio.pro/compare/AA-vs-CX,0,1,0,6
https://www.stockportfolio.pro/compare/AAL-vs-ACM,0,1,0,62
https://www.stockportfolio.pro/compare/AAL-vs-AVAV,0,1,0,72
https://www.stockportfolio.pro/compare/AAMI-vs-FBK,0,1,0,86
https://www.stockportfolio.pro/compare/AAPL-vs-NVDA,0,2,0,50.5
https://www.stockportfolio.pro/compare/AB-vs-FHB,0,1,0,8
https://www.stockportfolio.pro/compare/ABAT-vs-MTW,0,5,0,62.6
https://www.stockportfolio.pro/compare/ABBV-vs-INCY,0,1,0,70
https://www.stockportfolio.pro/compare/ABBV-vs-LLY,0,1,0,7
https://www.stockportfolio.pro/compare/ABBV-vs-MRK,0,2,0,7
https://www.stockportfolio.pro/compare/ABM-vs-FA,0,1,0,88
https://www.stockportfolio.pro/compare/ABNB-vs-H,0,1,0,88
https://www.stockportfolio.pro/compare/ABNB-vs-MELI,0,1,0,2
https://www.stockportfolio.pro/compare/ABNB-vs-PHIN,0,1,0,12
https://www.stockportfolio.pro/compare/ABR-vs-SVC,0,1,0,82
https://www.stockportfolio.pro/compare/ABT-vs-AMGN,0,3,0,6.333333333333333
https://www.stockportfolio.pro/compare/ABT-vs-AZN,0,1,0,5
https://www.stockportfolio.pro/compare/ABT-vs-BMY,0,1,0,10
https://www.stockportfolio.pro/compare/ABT-vs-TMO,0,1,0,8
https://www.stockportfolio.pro/compare/ABX-vs-AWF,0,1,0,7
https://www.stockportfolio.pro/compare/ACDC-vs-PBT,0,2,0,8
https://www.stockportfolio.pro/compare/ACGL-vs-FFIN,0,1,0,13
https://www.stockportfolio.pro/compare/ACHR-vs-BETA,0,3,0,7.666666666666667
https://www.stockportfolio.pro/compare/ACHV-vs-CTMX,0,1,0,41
https://www.stockportfolio.pro/compare/ACI-vs-SFD,0,1,0,77
https://www.stockportfolio.pro/compare/ACI-vs-SFM,0,1,0,5
https://www.stockportfolio.pro/compare/ACM-vs-BR,0,1,0,36
https://www.stockportfolio.pro/compare/ACMR-vs-NOVT,0,2,0,4
https://www.stockportfolio.pro/compare/ACN-vs-ADBE,0,2,0,7.5
https://www.stockportfolio.pro/compare/ACN-vs-ADP,0,3,0,17
https://www.stockportfolio.pro/compare/ACN-vs-CDNS,0,1,0,4
https://www.stockportfolio.pro/compare/ACN-vs-COHR,0,1,0,38
https://www.stockportfolio.pro/compare/ACN-vs-FICO,0,1,0,8
https://www.stockportfolio.pro/compare/ACN-vs-FTNT,0,1,0,4
https://www.stockportfolio.pro/compare/ACN-vs-INTU,0,1,0,2
https://www.stockportfolio.pro/compare/ACN-vs-IPGP,0,1,0,92
https://www.stockportfolio.pro/compare/ACNB-vs-STEL,0,1,0,46
https://www.stockportfolio.pro/compare/ACTG-vs-SIDU,0,1,0,6
https://www.stockportfolio.pro/compare/ADBE-vs-ADP,0,1,0,4
https://www.stockportfolio.pro/compare/ADBE-vs-INTU,0,1,0,90
https://www.stockportfolio.pro/compare/ADC-vs-BRX,0,1,0,69
https://www.stockportfolio.pro/compare/ADI-vs-QCOM,0,6,0,12.666666666666666
https://www.stockportfolio.pro/compare/ADI-vs-SNPS,0,1,0,11
https://www.stockportfolio.pro/compare/ADM-vs-SYY,0,4,0,3.75
https://www.stockportfolio.pro/compare/ADNT-vs-BOBS,0,1,0,8
https://www.stockportfolio.pro/compare/ADP-vs-FTNT,0,8,0,10.25
https://www.stockportfolio.pro/compare/ADP-vs-LZ,0,1,0,66
https://www.stockportfolio.pro/compare/ADSK-vs-INFY,0,1,0,6
https://www.stockportfolio.pro/compare/ADSK-vs-MCHP,0,1,0,2
https://www.stockportfolio.pro/compare/ADSK-vs-MSFT,0,1,0,89
https://www.stockportfolio.pro/compare/ADSK-vs-NSSC,0,1,0,14
https://www.stockportfolio.pro/compare/ADT-vs-CPA,0,2,0,6.5
https://www.stockportfolio.pro/compare/ADTN-vs-RDWR,0,1,0,28
https://www.stockportfolio.pro/compare/ADV-vs-NRDS,0,1,0,68
https://www.stockportfolio.pro/compare/AEHR-vs-BHE,0,4,0,22.5
https://www.stockportfolio.pro/compare/AEO-vs-VAC,0,1,0,10
https://www.stockportfolio.pro/compare/AEP-vs-CEG,0,1,0,9
https://www.stockportfolio.pro/compare/AERO-vs-AMPX,0,2,0,67
https://www.stockportfolio.pro/compare/AFL-vs-KNSL,0,1,0,2
https://www.stockportfolio.pro/compare/AFL-vs-NU,0,4,0,3
https://www.stockportfolio.pro/compare/AFRM-vs-SOFI,0,1,0,3
