query,ticker,intent,intent_confidence,expected_metric,intended_metric,expected_route,intended_route,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,total_relevant_metric_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_correct,dominant_route_is_correct,intended_route_position,wrong_route_position,evidence_strength,ownership_band,base_stock_page_competing,meaningful_wrong_route_volume,clicks,ctr,position,material_cannibalization,recommended_action,change_category,ranking_opportunity,severity,route_breakdown
"""earnings per share - wab""",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,1269.0,1269.0,1269.0,0.0,1,/stocks/WAB/dividend-history,647.0,no,no,0,2.9574468085106385,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,2.9574468085106385,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/dividend-history=647; /stocks/WAB/shares-outstanding=622
"""earnings per share - wab"" financial",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,737.0,737.0,737.0,0.0,1,/stocks/WAB/shares-outstanding,373.0,no,no,0,2.616010854816825,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,2.616010854816825,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/shares-outstanding=373; /stocks/WAB/dividend-history=364
"""shares outstanding - wab"" financial",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,596.0,596.0,596.0,0.0,1,/stocks/WAB/eps,300.0,no,no,0,2.4848993288590604,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,2.4848993288590604,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/eps=300; /stocks/WAB/dividend-history=296
"""earnings per share - wab"" finance",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,336.0,336.0,336.0,0.0,1,/stocks/WAB/shares-outstanding,168.0,no,no,0,2.7083333333333335,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,2.7083333333333335,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/dividend-history=168; /stocks/WAB/shares-outstanding=168
"""earnings per share - wab"" financial statement",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,242.0,242.0,242.0,0.0,1,/stocks/WAB/shares-outstanding,229.0,no,no,0,1.7355371900826446,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,1.7355371900826446,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/shares-outstanding=229; /stocks/WAB/dividend-history=13
"""shares outstanding - wab"" finance",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,218.0,218.0,218.0,0.0,1,/stocks/WAB/eps,109.0,no,no,0,2.36697247706422,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,2.36697247706422,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/dividend-history=109; /stocks/WAB/eps=109
"""earnings per share - wab"" financial model",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,181.0,181.0,181.0,0.0,1,/stocks/WAB/dividend-history,93.0,no,no,0,3.0718232044198897,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,3.0718232044198897,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,striking distance,high,/stocks/WAB/dividend-history=93; /stocks/WAB/shares-outstanding=88
"""earnings per share - wab"" financial statements",WAB,EPS,high,eps,EPS,/stocks/WAB/eps,/stocks/WAB/eps,0,143.0,143.0,143.0,0.0,1,/stocks/WAB/shares-outstanding,127.0,no,no,0,1.6783216783216781,STRONG_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,1.6783216783216781,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,top-3 visibility,high,/stocks/WAB/shares-outstanding=127; /stocks/WAB/dividend-history=16
"""shares outstanding - wab""",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,95.0,95.0,95.0,0.0,1,/stocks/WAB/eps,58.0,no,no,0,5.747368421052632,MODERATE_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,5.747368421052632,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,striking distance,medium,/stocks/WAB/eps=58; /stocks/WAB/dividend-history=37
"""shares outstanding - wab"" financial statement",WAB,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/WAB/shares-outstanding,/stocks/WAB/shares-outstanding,0,62.0,62.0,62.0,0.0,1,/stocks/WAB/eps,39.0,no,no,0,3.0483870967741935,MODERATE_EVIDENCE,WRONG_ROUTE_DOMINANT,no,no,0.0,0.0,3.0483870967741935,yes,FIX_TEMPLATE_SEMANTICS,OWNERSHIP_EVIDENCE_FIX,striking distance,medium,/stocks/WAB/eps=39; /stocks/WAB/dividend-history=23
