query,query_cluster,evidence_type,page,clicks,impressions,ctr,position,trend_3m,12m_clicks,12m_impressions,12m_ctr,12m_position,intent,commercial_value,content_match,recommended_action,implementation_type,scalability,difficulty,opportunity_score
"""shares outstanding - wab"" ""earnings per share - wab""",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,53.0,0.0,1.4716981132075473,impression-bearing,0.0,53.0,0.0,1.4716981132075473,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,131.18
"""earnings per share - wab"" ""shares outstanding - wab""",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,892.0,0.0,1.5717488789237668,impression-bearing,0.0,892.0,0.0,1.5717488789237668,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,103.83
"""earnings per share - wab""",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,622.0,0.0,1.8344051446945338,impression-bearing,0.0,845.0,0.0,2.549112426035503,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,99.15
"""earnings per share - wab""",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,647.0,0.0,4.0370942812983,impression-bearing,0.0,845.0,0.0,2.549112426035503,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,93.19
"""earnings per share - wab"" financial",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,373.0,0.0,1.646112600536193,impression-bearing,0.0,383.0,0.0,1.647519582245431,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,92.52
"""shares outstanding - wab"" financial",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,300.0,0.0,1.55,impression-bearing,0.0,300.0,0.0,1.5466666666666666,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,89.69
"""earnings per share - wab"" financial statement",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,229.0,0.0,1.6375545851528384,impression-bearing,0.0,229.0,0.0,1.62882096069869,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,86.2
"""shares outstanding - wab"" financial statements",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,10.0,0.0,1.4,impression-bearing,0.0,11.0,0.0,1.6363636363636362,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,85.04
"""earnings per share - wab"" finance",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,168.0,0.0,1.5892857142857144,impression-bearing,0.0,174.0,0.0,1.5862068965517242,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,82.19
"""earnings per share - wab"" financial statements",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,127.0,0.0,1.5669291338582676,impression-bearing,0.0,142.0,0.0,1.6549295774647887,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,78.58
"""shares outstanding - wab"" finance",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,109.0,0.0,2.715596330275229,impression-bearing,0.0,109.0,0.0,1.5229357798165137,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,76.61
"""shares outstanding - wab"" finance",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/eps,0.0,109.0,0.0,2.018348623853211,impression-bearing,0.0,109.0,0.0,1.5229357798165137,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,76.61
"""earnings per share - wab"" ""shares outstanding - wab"" financial statement",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,7.0,0.0,1.2857142857142856,impression-bearing,0.0,7.0,0.0,1.2857142857142856,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,75.8
"""earnings per share - wab"" financial model",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,0.0,88.0,0.0,1.7954545454545454,impression-bearing,0.0,95.0,0.0,1.6526315789473685,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,73.85
playtika ltd. yelp,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/PLTK-vs-YELP,0.0,979.0,0.0,9.993871297242084,impression-bearing,0.0,979.0,0.0,9.993871297242084,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,72.04
"""shares outstanding - wab"" financial data",shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,6.0,0.0,1.0,impression-bearing,0.0,6.0,0.0,1.0,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,71.93
"""earnings per share - wab"" financial",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,364.0,0.0,3.60989010989011,impression-bearing,0.0,383.0,0.0,1.647519582245431,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,70.96
"""earnings per share - wab"" financial model",earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WAB/dividend-history,0.0,93.0,0.0,4.279569892473118,impression-bearing,0.0,95.0,0.0,1.6526315789473685,financial research,4,strong,IMPROVE_TITLE_META,align title/description with the query and lead with the filed answer,3,1,70.02
